Tweet,Topic Category (COVID-19 or elections),"Response Category (control, unverified, misleading, or prohibited)",Source (url)
"Have you registered to VOTE? 
It’s quick, easy, and makes me horny with gratitude....
(Text “Voter” to 26797) or visit http://Vote.org.
#nationalvoterregistrationday",COVID-19,Control,https://twitter.com/MrJakeAbel/status/1308803488172912646?s=20
BREAKING: People 16 and up are now eligible to get the #COVID19 vaccine in San Francisco. Go to http://sf.gov/getvaccinated for info.,COVID-19,Control,https://twitter.com/hknightsf/status/1382081588561735680
"#COVID19 vaccines are safe and effective. As of April 12, almost 121 million people in the United States had received at least one dose of COVID-19 vaccine. Of those, more than 74 million are fully vaccinated. More: http://bit.ly/CDT_vaccine",COVID-19,Control,https://twitter.com/CDCgov/status/1381720321871466498
"873 cases of #COVID19 announced in B.C. today, as the province's rolling average and active cases show a dip for the first time in the 3rd wave — though the province warns the data could change. Two deaths, and hospitalizations near a record high, up to 377. Today's chart.",COVID-19,Control,https://twitter.com/j_mcelroy/status/1382112238966697986
Got my first dose! #covid,COVID-19,Control,https://twitter.com/tmilfort/status/1382014570512932864
New: Track #COVID19 variants across the globe on CDC’s COVID Data Tracker. Understanding variants and their spread can help us stop the virus. Learn more: http://bit.ly/CDTvariants.,COVID-19,Control,https://twitter.com/CDCgov/status/1382056002552524801
"#Antibiotics aren’t always the answer. Antibiotics are needed only to treat certain infections caused by bacteria, not viruses like those that cause colds, flu, or #COVID19. Ask your doctor about the best treatment to help you relieve symptoms. More: http://cdc.gov/drugresistance.",COVID-19,Control,https://twitter.com/CDCgov/status/1382030918739767297
"#WearAMask to prevent getting and spreading #COVID19. If you use a disposable mask, the knot and tuck method can help your mask fit better against your face without gaps. Learn how to improve your mask’s fit.",COVID-19,Control,https://twitter.com/CDCgov/status/1382005659252760577
"The safest way to observe #Ramadan & protect yourself & others from #COVID19 is to celebrate with people you live with, with others virtually, or outside staying 6 ft apart. Enjoy customs like #Iftar at home & attend religious services virtually. More: https://bit.ly/3n6X3x4.",COVID-19,Control,https://twitter.com/CDCgov/status/1381990547204808706
"Last week, I became eligible for my first dose of the AstraZeneca vaccine. I want to thank the staff at the downtown Rexall for being so kind and caring and doing this important work.

Folks, get the vaccine as soon as it becomes available to you. #ableg #abheath",COVID-19,Control,https://twitter.com/RachelNotley/status/1382112440444354563
"Two vaccines in the books. Thank you, science.",COVID-19,Control,https://twitter.com/bluedgal/status/1382112364762382344
We move stronger when we all move! Get involved for your community and make your voice heard this election season in New York City ,Elections,Control,https://twitter.com/votedotorg/status/1381666553125605380
Shake Shack has always been committed to getting our team + our guests to the polls and firmly believe in the need for broad voter participation and equal access. We stand against any legislation that may impede the opportunity to vote.,Elections,Control,https://twitter.com/shakeshack/status/1377705232298352642
Saturdays are for the voters: http://register.vote.org,Elections,Control,https://twitter.com/votedotorg/status/1380963042276614144
"Happy Friday!
Friendly reminder that state and local elections happen every single year. Don't miss the next chance to cast your ballot",Elections,Control,https://twitter.com/votedotorg/status/1380568476264361998
"REMINDER:
We're halfway through #DemocracyWeek! Follow along for for daily actions you can take to help protect the freedom to vote: http://vote.org/action",Elections,Control,https://twitter.com/votedotorg/status/1379920693182234627
